Molality,Osmotic Coefficient,Osmotic Coefficient Error,Osmotic Pressure,Osmotic Pressure Error
0.1,0.9377809166908264,0.0016102733240997424,4.676083564758301,0.027307043739813075
0.2,0.9373302459716797,0.0020475558438530217,9.347200393676758,0.044020838132292184
0.3,0.9419022798538208,0.002192475241148961,14.103885650634766,0.05601925625080817
0.4,0.9482762217521667,0.002221737583170069,18.929710388183594,0.06406836693823692
0.5,0.955496072769165,0.002150705321483315,23.839006423950195,0.07030723270992922
0.6,0.9632558226585388,0.0020283701984570857,28.893526077270508,0.0763161573433937
0.7,0.9711302518844604,0.001945512582508191,33.94688415527344,0.08246907028384953
0.8,0.9792091846466064,0.0018222532103732703,39.126434326171875,0.08900356976713653
0.9,0.9873100519180298,0.0016656854955989786,44.3551139831543,0.09397330757020583
1.0,0.9955422878265381,0.001603036846707262,49.72935485839844,0.09791516252428067
1.2,1.0118982791900635,0.0014522647408794498,60.645591735839844,0.11253957360723277
1.4,1.028166651725769,0.001567305068613356,71.87471008300781,0.13491758320817837
1.6,1.0443037748336792,0.0017835715504961325,83.41968536376953,0.15225900758362343
1.8,1.0603548288345337,0.001879001558466209,95.33060455322266,0.17950355554548025
2.0,1.0761638879776,0.0020953676743932226,107.4979019165039,0.20959956793059575
2.5,1.1148444414138794,0.002933266572862636,139.18270874023438,0.3044184867399906
3.0,1.1523654460906982,0.0036811519402997206,172.65924072265625,0.45047973032257005
3.5,1.188617467880249,0.00437125860532106,207.72979736328125,0.6522404853882193
4.0,1.223673701286316,0.0050267489034583335,244.3495330810547,0.9779161703067132
4.5,1.2568031549453735,0.005588994113097767,281.5542907714844,1.4321317186241913
5.0,1.2568031549453735,0.005588994113097767,281.5542907714844,1.4321317186241913
5.5,1.2568031549453735,0.005588994113097767,281.5542907714844,1.4321317186241913
6.0,1.2568031549453735,0.005588994113097767,281.5542907714844,1.4321317186241913
